fid,type,sub_type,name,source,global_id,label,province,prov_code,district,distr_code,lat,long,data_year,geometry
455,Health Facility,Rural Health Center,Muchabi RHC,MOH,{4484EB13-BD8B-4367-9CC2-7C2BF8A4D7F3},Muchabi RHC,Central,101,Mumbwa,101009,-15.4456650002,27.2790340003,2017-2018,"c(27.2790340003189, -15.4456650002395)"
456,Health Facility,Hospital,Mumbwa Dis Hospital,MOH,{2654B0E3-7124-4399-BDE9-62D84F3A9B2E},Mumbwa Dis Hospital,Central,101,Mumbwa,101009,-14.9761800001,27.0530870003,2017-2018,"c(27.0530870002649, -14.9761800001069)"
457,Health Facility,Rural Health Center,Myooye RHC,MOH,{441C5E6E-5B87-4100-AE34-9F98203C16A7},Myooye RHC,Central,101,Mumbwa,101009,-15.21519,27.3434850002,2017-2018,"c(27.3434850002326, -15.2151900000184)"
458,Health Facility,Rural Health Center,Nakanjoli RHC,MOH,{60A857C8-6145-4CFF-93C9-E8A1ED4764F9},Nakanjoli RHC,Central,101,Mumbwa,101009,-15.1577790001,26.7524819999,2017-2018,"c(26.7524819999444, -15.1577790001007)"
459,Health Facility,Rural Health Center,Nalubanda RHC,MOH,{A4739D53-89A1-4BE8-9B2B-5A0104FCFC59},Nalubanda RHC,Central,101,Mumbwa,101009,-15.4117870001,27.0760899999,2017-2018,"c(27.0760899998537, -15.41178700007)"
460,Health Facility,Rural Health Post,Nalusanga RHP,MOH,{6465B6C1-E88D-41CF-92A5-F14E1FA90495},Nalusanga RHP,Central,101,Mumbwa,101009,-14.9758609998,26.7126769998,2017-2018,"c(26.7126769998437, -14.9758609997853)"
461,Health Facility,Rural Health Post,Naluvwi RHP,MOH,{460E5635-362E-463E-891A-694CD747DB0C},Naluvwi RHP,Central,101,Mumbwa,101009,-15.3116120003,26.946329,2017-2018,"c(26.9463289999834, -15.3116120002935)"
462,Health Facility,Rural Health Center,Namabanga RHC,MOH,{9E914B8B-7B63-4149-95B9-279A337AA365},Namabanga RHC,Central,101,Mumbwa,101009,-15.2809829998,27.1819700001,2017-2018,"c(27.1819700001155, -15.2809829997656)"
463,Health Facility,Rural Health Center,Nambala RHC,MOH,{AE35EE50-54A7-4AF8-93A7-067ABBCA67E5},Nambala RHC,Central,101,Mumbwa,101009,-15.1067519996,27.0298190001,2017-2018,"c(27.0298190001468, -15.106751999605)"
464,Health Facility,Hospital,Nangoma Mission Dis Hospital,MOH,{840B8C41-B290-42BB-9F37-673171F99079},Nangoma Mission Dis Hospital,Central,101,Mumbwa,101009,-15.1272410002,27.362319,2017-2018,"c(27.3623190000219, -15.127241000172)"
465,Health Facility,Rural Health Post,Shimbizhi RHP,MOH,{6F7FF822-8B5D-4B61-ACDA-B4F1697ECA30},Shimbizhi RHP,Central,101,Mumbwa,101009,-15.0256879998,27.1009440003,2017-2018,"c(27.1009440002654, -15.0256879998013)"
466,Health Facility,Rural Health Center,Mulungushi RHC,MOH,{BD17436B-5934-44E6-8229-093A56D7635F},Mulungushi RHC,Central,101,Mumbwa,101009,-15.0076479998,27.1957659996,2017-2018,"c(27.1957659996012, -15.0076479997554)"
467,Health Facility,Rural Health Center,Chibale RHC,MOH,{53391443-D10B-4ED3-80C1-81B9DF72BA18},Chibale RHC,Central,101,Serenje,101011,-13.5907979998,30.1478000003,2017-2018,"c(30.1478000002699, -13.5907979998278)"
468,Health Facility,Rural Health Post,Chibobo RHP,MOH,{E4DD8BBB-A52D-458D-A380-2CEA9A7D69A4},Chibobo RHP,Central,101,Serenje,101011,-13.1937150002,30.0618560003,2017-2018,"c(30.0618560002542, -13.193715000247)"
469,Health Facility,Rural Health Center,Chisomo RHC,MOH,{003DCC28-6DD2-49FE-AC7D-6033013BB76D},Chisomo RHC,Central,101,Serenje,101011,-13.5917089996,30.6693900002,2017-2018,"c(30.6693900002484, -13.5917089995706)"
470,Health Facility,Rural Health Center,Kabamba RHC,MOH,{9577CDA8-EF0B-4FAA-9A48-7B6357F34BA6},Kabamba RHC,Central,101,Serenje,101011,-13.1802869997,30.3575200002,2017-2018,"c(30.3575200002479, -13.1802869997452)"
471,Health Facility,Rural Health Center,Kabundi RHC,MOH,{660624C4-29DA-48F1-A48F-4750EDFB1EFF},Kabundi RHC,Central,101,Serenje,101011,-13.01796,30.0208600001,2017-2018,"c(30.020860000089, -13.017959999954)"
472,Health Facility,Rural Health Post,Kalela RHP,MOH,{45E081E7-7C9E-4164-90F1-F306584B8735},Kalela RHP,Central,101,Chitambo,101003,-13.0554510004,30.7667339999,2017-2018,"c(30.7667339998742, -13.0554510003633)"
473,Health Facility,Rural Health Post,Kanona RHP,MOH,{89B4AF77-07C4-4F7D-A6C2-43CAFDAF4F9A},Kanona RHP,Central,101,Chitambo,101003,-13.0719179998,30.6281650003,2017-2018,"c(30.6281650003145, -13.0719179998158)"
474,Health Facility,Health Post,Kaseba HP,MOH,{C0390A9C-E483-450F-9A62-5549F98A238D},Kaseba HP,Central,101,Serenje,101011,-13.5150060003,30.3587529996,2017-2018,"c(30.3587529995513, -13.5150060003266)"
475,Health Facility,Rural Health Post,Kunda Lumwanshya RHP,MOH,{D89BEC60-729C-4906-9247-769EB9CF4A5B},Kunda Lumwanshya RHP,Central,101,Serenje,101011,-13.5508320004,30.2740579996,2017-2018,"c(30.2740579995771, -13.5508320003964)"
476,Health Facility,Rural Health Post,Lumpampa RHP,MOH,{23FF4807-C061-4A70-A49F-FB73DB22370F},Lumpampa RHP,Central,101,Serenje,101011,-13.2116340001,30.130866,2017-2018,"c(30.130865999966, -13.211634000109)"
477,Health Facility,Rural Health Center,Lusiwasi Zesco Staff RHC,MOH,{A5432BA3-B8E3-41F2-9A6E-29C9EB5363CF},Lusiwasi Zesco Staff RHC,Central,101,Chitambo,101003,-13.3185290004,31.0248569999,2017-2018,"c(31.0248569998507, -13.318529000413)"
478,Health Facility,Rural Health Center,Mailo RHC,MOH,{DF9B86B1-8D62-45D0-88E2-C56978F75BDE},Mailo RHC,Central,101,Chitambo,101003,-13.054643,30.9025379996,2017-2018,"c(30.902537999629, -13.0546429999744)"
479,Health Facility,Rural Health Center,Malcom Moffat RHC,MOH,{70DE2A82-423D-48FF-A5D2-21858AE0E3FD},Malcom Moffat RHC,Central,101,Serenje,101011,-13.2207010001,30.2403449998,2017-2018,"c(30.240344999822, -13.2207010000511)"
480,Health Facility,Rural Health Post,Masase RHP,MOH,{87EDF46D-24B2-4B2C-949F-5C269E301614},Masase RHP,Central,101,Chitambo,101003,-13.1935659997,31.0767570001,2017-2018,"c(31.0767570001355, -13.1935659996711)"
481,Health Facility,Rural Health Post,Miswema RHP,MOH,{FB0EA3DE-9300-41DB-B0ED-0826582C2133},Miswema RHP,Central,101,Chitambo,101003,-13.1741510001,30.6536110001,2017-2018,"c(30.6536110001476, -13.1741510000685)"
482,Health Facility,Rural Health Center,Mulilima RHC,MOH,{A43EA969-6FAB-4812-BF39-278931F7E1C1},Mulilima RHC,Central,101,Serenje,101011,-13.3657669997,29.9160240003,2017-2018,"c(29.9160240003074, -13.3657669997472)"
483,Health Facility,Rural Health Post,Muzamani RHP,MOH,{620F87C7-43CC-4D9C-8991-49643BA68ED1},Muzamani RHP,Central,101,Chitambo,101003,-13.1363929999,30.8123089999,2017-2018,"c(30.8123089998605, -13.136392999937)"
484,Health Facility,Rural Health Center,Nchimishi RHC,MOH,{ABB3AFEA-37BF-4C93-ADE6-BD1F46C9EF5A},Nchimishi RHC,Central,101,Serenje,101011,-13.478297,29.9958509997,2017-2018,"c(29.9958509997239, -13.4782970000065)"
485,Health Facility,Hospital,Serenje Dis Hospital,MOH,{4FA9EEAB-6C0C-417B-AFFC-5B5947780F84},Serenje Dis Hospital,Central,101,Serenje,101011,-13.2532900001,30.2415610001,2017-2018,"c(30.2415610001401, -13.2532900001333)"
486,Health Facility,Hospital Affiliated Health Center,Serenje HAHC,MOH,{A2A9E3FA-CF23-4DE0-B70A-F84A594C99DD},Serenje HAHC,Central,101,Serenje,101011,-13.2344829998,30.2349370004,2017-2018,"c(30.2349370004422, -13.2344829997905)"
487,Health Facility,Health Center,Serenje HC,MOH,{E863BC66-80C6-4C67-A557-2AFA775A281A},Serenje HC,Central,101,Serenje,101011,-13.2352510001,30.2346329999,2017-2018,"c(30.2346329999131, -13.2352510001335)"
488,Health Facility,Rural Health Post,Sote RHP,MOH,{CA995F3E-529C-48E6-B1D8-DC4D0E084423},Sote RHP,Central,101,Chitambo,101003,-12.9354849998,30.7260859996,2017-2018,"c(30.7260859995692, -12.9354849998329)"
489,Health Affiliated Infrastructure,Compound,Zambia Compound RHP,MOH,{E0E52861-E565-4489-B9E9-2DE5D41C7A57},Zambia Compound RHP,Central,101,Serenje,101011,-13.2288039996,30.2169930003,2017-2018,"c(30.2169930003267, -13.2288039996048)"
490,Health Facility,Rural Health Center,Ngabwe RHC,MOH,{99F48F80-C102-489A-9FFD-7B2BA0C0F307},Ngabwe RHC,Central,101,Ngabwe,101010,-14.0853549996,27.2544770001,2017-2018,"c(27.2544770001135, -14.0853549996335)"
491,Health Facility,Health Center,Mumbachala HC,MOH,{FB0A16E5-561E-4A04-A54A-60EE6F2B4389},Mumbachala HC,Central,101,Ngabwe,101010,-14.0989289997,27.4174940002,2017-2018,"c(27.417494000248, -14.0989289996735)"
492,Health Facility,Rural Health Center,Chilwa RHC,MOH,{E126919F-9A83-42F1-981E-9D57AAFC937D},Chilwa RHC,Central,101,Ngabwe,101010,-14.2108220002,27.6511390001,2017-2018,"c(27.6511390000649, -14.2108220002351)"
493,Health Facility,Rural Health Post,Nsengwa RHP,MOH,{976DEA0D-7759-4FB0-8B86-B44A7B5E9051},Nsengwa RHP,Central,101,Ngabwe,101010,-14.0218379996,27.5841409996,2017-2018,"c(27.5841409996075, -14.0218379996239)"
494,Health Facility,Rural Health Center,Mukubwe RHC,MOH,{4C77E7AB-D023-46C1-B956-9672A07B7139},Mukubwe RHC,Central,101,Ngabwe,101010,-13.8986250004,27.74687,2017-2018,"c(27.7468699999506, -13.8986250004434)"
495,Health Facility,Rural Health Center,Chimfunshi RHC,MOH,{8CA17BA7-F761-4526-B524-B63B5CA8F672},Chimfunshi RHC,Copperbelt,102,Chililabombwe,102001,-12.3260500003,27.6363699998,2017-2018,"c(27.6363699997757, -12.3260500003072)"
496,Health Facility,Rural Health Post,Fitobaula RHP,MOH,{A9B14EB5-10FD-4FE2-B9B0-C100BED52FCF},Fitobaula RHP,Copperbelt,102,Chililabombwe,102001,-12.4559219999,27.8678820002,2017-2018,"c(27.8678820001542, -12.4559219999003)"
497,Health Facility,Health Center,Kakoso HC,MOH,{C58860B9-2414-4373-AC12-37A73338A3D9},Kakoso HC,Copperbelt,102,Chililabombwe,102001,-12.3732640003,27.8554650004,2017-2018,"c(27.8554650004095, -12.3732640003333)"
498,Health Facility,Health Center,Kasumbalesa HC,MOH,{40B0A7D3-C7D1-4539-AEAB-4CBEB3932D0F},Kasumbalesa HC,Copperbelt,102,Chililabombwe,102001,-12.2714210001,27.7964759997,2017-2018,"c(27.7964759996677, -12.271421000079)"
499,Health Facility,Health Post,Kawama HP,MOH,{C78134D7-2B49-4C15-8AA1-9B86678986A8},Kawama HP,Copperbelt,102,Chililabombwe,102001,-12.3296289999,27.8584630002,2017-2018,"c(27.8584630001674, -12.3296289998784)"
500,Health Facility,Rural Health Post,Konkola RHP,MOH,{C37576B6-4ADD-4E72-A68C-1D73B7ED4DF4},Konkola RHP,Copperbelt,102,Chililabombwe,102001,-12.2989469996,27.7571589996,2017-2018,"c(27.7571589995882, -12.2989469996043)"
501,Health Facility,Hospital,Chililabombwe Dis Hospital,MOH,{D7D07C36-F9D2-479A-8D16-286F7DA663F8},Chililabombwe Dis Hospital,Copperbelt,102,Chililabombwe,102001,-12.3711130001,27.8623579999,2017-2018,"c(27.8623579999218, -12.3711130000648)"
502,Health Facility,Health Center,Chawama HC,MOH,{2A9D1834-4D95-47A2-B496-DF9F605C5445},Chawama HC,Copperbelt,102,Chingola,102002,-12.5584320003,27.8415429996,2017-2018,"c(27.8415429996098, -12.5584320003365)"
503,Health Facility,Health Center,Chingola Council HC,MOH,{AD809B74-132A-4F00-9347-06624D0DFE7B},Chingola Council HC,Copperbelt,102,Chingola,102002,-12.54454,27.8657620004,2017-2018,"c(27.8657620004161, -12.544540000021)"
504,Health Facility,Health Center,Chiwempala HC,MOH,{0B9FC270-4C76-4668-BD44-D53972BA632F},Chiwempala HC,Copperbelt,102,Chingola,102002,-12.5487659998,27.843482,2017-2018,"c(27.8434819999944, -12.548765999751)"
505,Health Facility,Rural Health Center,Ipafu RHC,MOH,{5C473710-9110-49E9-8DB1-A683383F1537},Ipafu RHC,Copperbelt,102,Chingola,102002,-12.5183449998,27.6847470004,2017-2018,"c(27.6847470003738, -12.5183449998219)"
506,Health Facility,Health Center,Kabundi East HC,MOH,{B53ED211-D94E-4D73-B5C9-F1C0F87FD60E},Kabundi East HC,Copperbelt,102,Chingola,102002,-12.5278110002,27.8914040003,2017-2018,"c(27.8914040002944, -12.5278110001775)"
507,Health Facility,Rural Health Center,Kalilo RHC,MOH,{6DDAB5B1-FB9D-4A9C-99B8-7B98A6B7F920},Kalilo RHC,Copperbelt,102,Chingola,102002,-12.491457,27.7673069999,2017-2018,"c(27.7673069999182, -12.4914570000405)"
508,Health Facility,Health Center,Kasompe HC,MOH,{14825BCF-DE73-4ECD-A796-3B5C86C35A9A},Kasompe HC,Copperbelt,102,Chingola,102002,-12.5917210003,27.8941930003,2017-2018,"c(27.8941930003068, -12.5917210003238)"
509,Health Facility,Rural Health Post,Katuba RHP,MOH,{2A928DB4-A871-4273-9223-6D0F62C331B1},Katuba RHP,Copperbelt,102,Chingola,102002,-12.712077,27.9402089999,2017-2018,"c(27.9402089999455, -12.7120769999535)"
510,Health Facility,Health Center,Luano Kapisha Clinic HC,MOH,{44865410-2501-4472-AC0E-08DFB6E4678D},Luano Kapisha Clinic HC,Copperbelt,102,Chingola,102002,-12.5370689999,27.9072560002,2017-2018,"c(27.9072560001644, -12.5370689999344)"
511,Health Facility,Rural Health Post,Lulamba RHP,MOH,{10EAE6D0-6BD1-40DD-8A86-90D57F8955F9},Lulamba RHP,Copperbelt,102,Chingola,102002,-12.5737990003,27.8491780001,2017-2018,"c(27.8491780000647, -12.5737990003236)"
512,Health Facility,Rural Health Post,Lushishi RHP,MOH,{18862526-0D13-4107-A2F5-FCC6F1025F51},Lushishi RHP,Copperbelt,102,Chingola,102002,-12.6637610004,27.8191520004,2017-2018,"c(27.8191520003646, -12.6637610003698)"
513,Health Facility,Rural Health Center,Muchinshi RHC,MOH,{63A7EB37-49C7-4767-BB78-8AAB29DE53AC},Muchinshi RHC,Copperbelt,102,Chingola,102002,-12.4907770002,27.5247819998,2017-2018,"c(27.5247819997895, -12.4907770001584)"
514,Health Facility,Rural Health Post,Musenga RHP,MOH,{DACA99BC-30FE-468E-A4BF-539A05828CD6},Musenga RHP,Copperbelt,102,Chingola,102002,-12.5963780001,27.9612220004,2017-2018,"c(27.961222000395, -12.5963780001446)"
515,Health Facility,Rural Health Center,Mutenda RHC,MOH,{66863F86-DCE8-4236-BDBF-269C7824E9FE},Mutenda RHC,Copperbelt,102,Chingola,102002,-12.3912709998,27.361343,2017-2018,"c(27.3613429999795, -12.3912709997568)"
516,Health Facility,Hospital,Nchanga North Gen Hospital,MOH,{8AFDD0A5-FF69-4B64-9FF6-AE75D5C0B625},Nchanga North Gen Hospital,Copperbelt,102,Chingola,102002,-12.5257040001,27.8595829997,2017-2018,"c(27.8595829996557, -12.5257040001395)"
517,Health Facility,Rural Health Post,Shimulala RHP,MOH,{1547E968-C14B-4CA5-BCCD-23D67FCBF5E6},Shimulala RHP,Copperbelt,102,Chingola,102002,-12.477912999600001,27.8153640001,2017-2018,"c(27.8153640001485, -12.4779129995852)"
518,Health Facility,Rural Health Post,Kawama RHP,MOH,{57A45CF5-A2CA-4D66-8D36-62259332282E},Kawama RHP,Copperbelt,102,Chingola,102002,-12.5521900003,27.6879149999,2017-2018,"c(27.6879149998774, -12.5521900002682)"
519,Health Facility,Clinic,Prisons Clinic,MOH,{BFC2F339-A1ED-4BC9-8D7C-7A91B1FF83F5},Prisons Clinic,Copperbelt,102,Chingola,102002,-12.5505819999,27.855983,2017-2018,"c(27.8559830000155, -12.5505819998593)"
520,Health Facility,Health Center,Dental Clinic HC,MOH,{E913A578-AC55-46C8-B384-14A00D8970F0},Dental Clinic HC,Copperbelt,102,Chingola,102002,-12.5399210002,27.8652249999,2017-2018,"c(27.8652249999338, -12.539921000154)"
521,Health Facility,Health Center,Chambishi Grz Clinic HC,MOH,{2BFBC8FA-097E-4A39-8380-3FF5B9E41530},Chambishi Grz Clinic HC,Copperbelt,102,Kalulushi,102003,-12.6379160001,28.0552049997,2017-2018,"c(28.055204999711, -12.6379160001233)"
522,Health Facility,Rural Health Center,Chati RHC,MOH,{4FFC6725-5432-491C-9581-A4F5B189CB24},Chati RHC,Copperbelt,102,Kalulushi,102003,-12.8038220004,27.804595,2017-2018,"c(27.8045949999593, -12.803822000385)"
523,Health Facility,Rural Health Post,Chembe RHP,MOH,{F51D9266-B7F9-4441-8882-BBFF26AEFEE6},Chembe RHP,Copperbelt,102,Kalulushi,102003,-12.838741,27.9870649997,2017-2018,"c(27.98706499965, -12.8387409999971)"
524,Health Facility,Health Post,Chibote HP,MOH,{B4DF8117-1CA6-4971-8A8D-FC1C8F53B96C},Chibote HP,Copperbelt,102,Kalulushi,102003,-12.8676729996,28.1403030003,2017-2018,"c(28.1403030002833, -12.8676729996092)"
525,Health Facility,Health Center,Chibuluma HC,MOH,{E2F93194-986F-4454-B9A7-C94087BBC0BF},Chibuluma HC,Copperbelt,102,Kalulushi,102003,-12.8517920002,28.137099,2017-2018,"c(28.1370990000189, -12.8517920002006)"
526,Health Facility,Rural Health Post,Chiwembashi RHP,MOH,{4316FB8D-FBEA-44B2-BCD1-CEA4705E698E},Chiwembashi RHP,Copperbelt,102,Kalulushi,102003,-12.7578459999,27.8917439998,2017-2018,"c(27.8917439997858, -12.7578459998929)"
527,Health Facility,Rural Health Post,Denovan RHP,MOH,{0F404073-3B4C-4567-B97A-0340AE5C76B7},Denovan RHP,Copperbelt,102,Kalulushi,102003,-12.7392769997,28.0531579997,2017-2018,"c(28.0531579997419, -12.7392769997337)"
528,Health Facility,Rural Health Post,Fitanda RHP,MOH,{C31187B5-5603-4C06-9FA3-4E3C4627B6CE},Fitanda RHP,Copperbelt,102,Kalulushi,102003,-12.6467900002,27.997856,2017-2018,"c(27.9978559999545, -12.6467900001583)"
529,Health Facility,Rural Health Center,Ichimpe RHC,MOH,{2D405AF5-32E9-489A-A8A3-8A67BDFF7636},Ichimpe RHC,Copperbelt,102,Kalulushi,102003,-12.7411450004,28.1251599998,2017-2018,"c(28.1251599998342, -12.7411450004413)"
530,Health Facility,Health Post,Kalengwa HP,MOH,{ECB7114A-A35D-4128-8B1C-12D2CE1DB0D9},Kalengwa HP,Copperbelt,102,Kalulushi,102003,-12.853523,28.0789239999,2017-2018,"c(28.0789239999427, -12.8535229999864)"
531,Health Facility,Hospital,Kalulushi Gen Hospital,MOH,{9EFD2B79-D139-490F-B0BD-75C486B7443A},Kalulushi Gen Hospital,Copperbelt,102,Kalulushi,102003,-12.8334000001,28.1004000002,2017-2018,"c(28.1004000001599, -12.8334000001099)"
532,Health Facility,Health Center,Kalulushi Grz HC,MOH,{54855C43-0240-4CB2-9E2D-D46A5FA4F1CB},Kalulushi Grz HC,Copperbelt,102,Kalulushi,102003,-12.8486560004,28.0992589997,2017-2018,"c(28.0992589997031, -12.8486560003741)"
533,Health Facility,Health Center,Kalulushi Main HC,MOH,{7C0F4443-C40C-4675-B689-6F48583A5AE3},Kalulushi Main HC,Copperbelt,102,Kalulushi,102003,-12.8399879999,28.100728,2017-2018,"c(28.1007279999973, -12.8399879999462)"
534,Health Facility,Rural Health Center,Kite RHC,MOH,{DFFAF86C-4A86-496E-BE77-98AB50E4043B},Kite RHC,Copperbelt,102,Kalulushi,102003,-12.8499519999,27.8752999996,2017-2018,"c(27.8752999995954, -12.8499519998849)"
535,Health Facility,Rural Health Center,Lukoshi RHC,MOH,{50450925-5857-4CED-998D-42168042A2A8},Lukoshi RHC,Copperbelt,102,Kalulushi,102003,-12.6174269996,28.1437979996,2017-2018,"c(28.1437979995781, -12.6174269995564)"
536,Health Facility,Rural Health Post,Mindolo Training Farms RHP,MOH,{E98B3734-1483-4193-9EA1-4AB1185A76AA},Mindolo Training Farms RHP,Copperbelt,102,Kalulushi,102003,-12.8973840001,28.1268939998,2017-2018,"c(28.1268939997584, -12.8973840000715)"
537,Health Facility,Rural Health Post,Minsenga RHP,MOH,{677D6723-C1DD-41EE-B6C5-B42212CAFA06},Minsenga RHP,Copperbelt,102,Kalulushi,102003,-12.7150490003,27.9880740003,2017-2018,"c(27.9880740003149, -12.7150490003111)"
538,Health Facility,Health Post,Musakashi HP,MOH,{48911AFE-C92E-4D95-84A4-C9E7E526925C},Musakashi HP,Copperbelt,102,Kalulushi,102003,-12.6164310004,27.9999969998,2017-2018,"c(27.9999969997618, -12.6164310003903)"
539,Health Facility,Rural Health Post,Sitwe RHP,MOH,{92A1FB46-2F79-46F9-A186-17C657DB08F7},Sitwe RHP,Copperbelt,102,Kalulushi,102003,-12.6274060002,28.0584170003,2017-2018,"c(28.0584170003443, -12.6274060001867)"
540,Health Facility,Rural Health Post,Twaiteka RHP,MOH,{69AB58F0-0094-4567-9996-B695157B08A2},Twaiteka RHP,Copperbelt,102,Kalulushi,102003,-12.6311409998,28.0757399997,2017-2018,"c(28.0757399997013, -12.6311409997573)"
541,Health Facility,Health Center,Buchi Main HC,MOH,{4ACCCC89-6BD1-4608-B827-E92B4380D97F},Buchi Main HC,Copperbelt,102,Kitwe,102004,-12.7949450002,28.2089310004,2017-2018,"c(28.2089310003655, -12.7949450002116)"
542,Health Facility,Health Center,Buchi Small Chest HC,MOH,{28D72C15-4589-40BF-8B28-06A3D33B9DB6},Buchi Small Chest HC,Copperbelt,102,Kitwe,102004,-12.7879729998,28.2067420001,2017-2018,"c(28.2067420001433, -12.7879729997541)"
543,Health Facility,Health Center,Bulangililo HC,MOH,{585F14EA-CB76-490B-9644-DBD687000DF3},Bulangililo HC,Copperbelt,102,Kitwe,102004,-12.7709299998,28.2293250001,2017-2018,"c(28.2293250001487, -12.7709299998196)"
544,Health Facility,Health Center,Chamboli Grz HC,MOH,{9A60D89B-53AD-40A6-94E9-229AF00E0FD5},Chamboli Grz HC,Copperbelt,102,Kitwe,102004,-12.8572839999,28.2275690001,2017-2018,"c(28.2275690001093, -12.8572839998566)"
545,Health Facility,Rural Health Center,Chilobwe RHC,MOH,{F0DD0455-199F-4BC2-94FA-BEE7C8CF5868},Chilobwe RHC,Copperbelt,102,Kitwe,102004,-12.9540440004,28.1777379999,2017-2018,"c(28.1777379999088, -12.9540440004302)"
546,Health Facility,Rural Health Post,Chiminwa RHP,MOH,{96E55983-FACA-42C7-96F1-1367A5BEB9EE},Chiminwa RHP,Copperbelt,102,Luanshya,102005,-12.9531919998,28.3527330002,2017-2018,"c(28.3527330002278, -12.9531919998109)"
547,Health Facility,Health Center,Chimwemwe HC,MOH,{B32855E6-CED5-46D3-8D74-980DFBA1B667},Chimwemwe HC,Copperbelt,102,Kitwe,102004,-12.7712290001,28.2019009999,2017-2018,"c(28.2019009999312, -12.7712290001182)"
548,Health Facility,Clinic,Community Development College Clinic,MOH,{CFDC5B96-CB5E-471B-A149-86780B4F915E},Community Development College Clinic,Copperbelt,102,Kitwe,102004,-12.8803040002,28.2622529997,2017-2018,"c(28.2622529996763, -12.8803040002294)"
549,Health Facility,Rural Health Post,Cosetco RHP,MOH,{F6BD9C24-BA48-4D4C-9454-F463B4D2AAA9},Cosetco RHP,Copperbelt,102,Kitwe,102004,-12.7230699997,28.1535860004,2017-2018,"c(28.1535860003937, -12.7230699996807)"
550,Health Facility,Health Post,East Of Garnaton HP,MOH,{450B4FA2-2775-4D1E-BED1-668A1CBD824D},East Of Garnaton HP,Copperbelt,102,Kitwe,102004,-12.7361670002,28.1939589997,2017-2018,"c(28.1939589997081, -12.7361670002069)"
551,Health Facility,Health Center,Garnatone HC,MOH,{7829100A-95BE-4DEA-BBB0-15E5AE04662A},Garnatone HC,Copperbelt,102,Kitwe,102004,-12.7389920001,28.1778080004,2017-2018,"c(28.1778080004389, -12.7389920000807)"
552,Health Facility,Health Center,Ipusukilo HC,MOH,{F771F7BE-B557-47A6-8498-B833C017A45A},Ipusukilo HC,Copperbelt,102,Kitwe,102004,-12.7790379996,28.2465939997,2017-2018,"c(28.2465939997134, -12.7790379996039)"
553,Health Facility,Health Center,Itimpi HC,MOH,{82583BDD-CC54-4CC7-BA01-3BECED8444CE},Itimpi HC,Copperbelt,102,Kitwe,102004,-12.7423890003,28.1719700001,2017-2018,"c(28.1719700001154, -12.7423890002521)"
554,Health Facility,Rural Health Center,Kakolo RHC,MOH,{5DAC4305-82A8-4FCD-8E97-02BE305AD2CA},Kakolo RHC,Copperbelt,102,Kitwe,102004,-12.9274459996,28.3374660004,2017-2018,"c(28.3374660003557, -12.9274459996331)"
555,Health Facility,Health Center,Kamakonde HC,MOH,{E90208FE-6696-4F31-B38D-EB5A2B134E56},Kamakonde HC,Copperbelt,102,Kitwe,102004,-12.8315969997,28.1450489997,2017-2018,"c(28.1450489997116, -12.8315969997017)"
556,Health Facility,Health Center,Kamfinsa HC,MOH,{68EBCEB9-819D-4C8B-B9FF-A7E9665E25CE},Kamfinsa HC,Copperbelt,102,Kitwe,102004,-12.8746280002,28.3374220001,2017-2018,"c(28.3374220001252, -12.874628000182)"
557,Health Facility,Health Center,Kamitondo HC,MOH,{4C50A88C-FC8F-477D-8AC5-62C5F2B3AB71},Kamitondo HC,Copperbelt,102,Kitwe,102004,-12.7909209999,28.2161559999,2017-2018,"c(28.2161559998995, -12.7909209999042)"
558,Health Facility,Health Center,Kawama Kitwe HC,MOH,{3C8ECBAB-B4CC-47A5-A218-786A4ED32764},Kawama Kitwe HC,Copperbelt,102,Kitwe,102004,-12.7499479999,28.2044879996,2017-2018,"c(28.2044879996216, -12.7499479999003)"
559,Health Facility,Health Post,Kitwe College Of Education HP,MOH,{3822C7D9-C161-4D85-94EE-6B507191D97A},Kitwe College Of Education HP,Copperbelt,102,Kitwe,102004,-12.783863,28.1928170001,2017-2018,"c(28.1928170001045, -12.7838629999774)"
560,Health Facility,Rural Health Center,District Police Clinic RHC,MOH,{5B046CF6-BD58-49C6-9080-BFA86835AE0D},District Police Clinic RHC,Copperbelt,102,Kitwe,102004,-12.8200470004,28.2047599996,2017-2018,"c(28.2047599995744, -12.8200470003687)"
561,Health Facility,Hospital,Kitwe L3 Hospital,MOH,{4ADD8A8A-82FF-4C36-96D9-B39D1A32197E},Kitwe L3 Hospital,Copperbelt,102,Kitwe,102004,-12.7977560003,28.2097110004,2017-2018,"c(28.2097110003624, -12.7977560003391)"
562,Health Facility,Health Center,Kwacha HC,MOH,{241E0989-4CB5-443E-95BF-F1A8ADA638A3},Kwacha HC,Copperbelt,102,Kitwe,102004,-12.7817070004,28.2231490004,2017-2018,"c(28.2231490004261, -12.7817070003777)"
563,Health Facility,Health Center,Luangwa HC,MOH,{C40B9202-0689-4338-9E20-964C2433145B},Luangwa HC,Copperbelt,102,Kitwe,102004,-12.8818349998,28.2503739996,2017-2018,"c(28.2503739995605, -12.8818349997854)"
564,Health Facility,Rural Health Post,Luongo RHP,MOH,{423FEA8A-21B2-4A1E-A8C0-3A40D7E1D260},Luongo RHP,Copperbelt,102,Kitwe,102004,-12.6863220003,28.1518300004,2017-2018,"c(28.1518300003543, -12.6863220002601)"
